app,method,path,dimension,reason,evidence
dashboard,GET,/roomCalendar/show,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomCalendar/show,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomClockIn/dayDetail,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomClockIn/dayDetail,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomClockIn/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomClockIn/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomClockIn/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomClockIn/info,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomClockIn/show,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomClockIn/show,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomClockIn/showContact,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomClockIn/showContact,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomFission/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomFission/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomFission/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomFission/show,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomFission/show,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomFission/showContact,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomFission/showContact,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomFission/showRoom,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomFission/showRoom,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomFission/writeOff,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomFission/writeOff,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomInfinitePull/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomInfinitePull/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomInfinitePull/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomInfinitePull/info,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomMessageBatchSend/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-message-batch-send/src/Action/Dashboard/Index.php#L53
dashboard,GET,/roomMessageBatchSend/index,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-message-batch-send/src/Action/Dashboard/Index.php#L53
dashboard,GET,/roomQuality/contactDetail,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomQuality/contactDetail,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomQuality/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomQuality/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/roomQuality/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomQuality/info,response,no-static-response-fields,internal/server/server.go
